chat_id,scenario,scenario_type,message_count,intent,satisfaction,quality_score,rationale,has_mistakes,mistake_count,mistake_ignored_question,mistake_incorrect_info,mistake_rude_tone,mistake_no_resolution,mistake_unnecessary_escalation
11,payment_troubles,conflict,12,payment_troubles,satisfied,5,"The customer initially reports a payment issue and requests immediate assistance. The agent apologizes and asks for more details to investigate. The customer provides necessary information, and the agent identifies a temporary hold on the account due to a security update. The agent resolves the issue by lifting the hold and advises the customer to retry the payment.",False,0,False,False,False,False,False
12,technical_errors,agent_mistake,10,technical_errors,unsatisfied,1,"The customer initially reported an issue with the app not loading and requested assistance. The agent responded with an overly formal apology and asked the customer to attempt basic troubleshooting steps, despite the customer already having done so. The customer expressed frustration with the agent's approach, and the agent continued to use a condescending tone. Eventually, the agent acknowledged a known issue with Android 10 and the app, but the customer remained unsatisfied with the interaction.",True,3,False,True,True,True,False
13,account_access,successful,10,account_access,satisfied,5,"The client's initial request was to reset their email password due to forgetting it. The agent handled the request by first asking for the client's username or email address, then sending a password reset link. The client had some technical questions but the agent provided clear instructions and assistance. The agent also clarified that they don't have direct access to the client's new password, ensuring the client's security.",False,0,False,False,False,False,False
14,tariff_questions,problematic,10,tariff_questions,unsatisfied,3,"The customer initiated the conversation with a complaint about being charged too much for their internet plan. The agent attempted to gather more information but was met with aggression and impatience from the customer. The agent tried to offer a solution, including a plan review and a one-time courtesy adjustment, but the customer was not satisfied. The agent eventually decided to escalate the issue to their supervisor.",True,1,False,False,True,False,False
15,refund,conflict,8,refund,unsatisfied,2,"The customer initially requested a refund due to a missing product. The agent asked for an order status check, which the customer had already done. The agent then offered a refund but failed to address the customer's concerns about the shipping status and provided no clear explanation. The customer became frustrated, and the agent eventually escalated the issue to a supervisor.",True,3,True,True,False,True,False
16,payment_troubles,agent_mistake,10,payment_troubles,unsatisfied,2,"The customer's initial request was about a declined payment. The agent responded by asking the customer to check their card details, which the customer had already done. The agent then escalated the issue to the payment specialist team. The customer expressed frustration at not being helped directly by the agent and requested a reference number for the escalated issue.",True,2,False,False,True,True,False
17,technical_errors,successful,14,technical_errors,satisfied,4,"The customer reported an issue with the app crashing when trying to upload a file. The agent followed a structured approach to troubleshoot the issue, first asking for account information and error messages, then checking for app updates, and finally running a diagnostic test. The agent concluded that the issue may be related to the device's operating system and offered a troubleshooting guide.",False,0,False,False,False,False,False
18,account_access,problematic,9,account_access,neutral,3,"The customer's initial request was to regain access to their account. The agent handled it by apologizing and requesting the customer's email address. However, the agent's responses were overly apologetic and verbose, potentially causing frustration. The customer explicitly asked for a password reset, but the agent delayed this by asking for additional information and citing a technical delay. Eventually, the agent sent the password reset link, but the process was lengthy and required multiple interactions.",True,2,True,False,False,False,True
19,tariff_questions,conflict,12,technical_errors,unsatisfied,1,"The customer initially reports being charged extra on their plan and seeks an explanation. The agent requests more information, identifies the issue as exceeding the data limit, and offers a choice between upgrading or paying the extra fee. However, the customer seeks a detailed explanation for the overage charges and why their plan did not auto-adjust or notify them before the issue arose. The agent becomes brusque, offers a one-time courtesy credit, and eventually transfers the customer to a supervisor after failing to provide a satisfactory technical explanation.",True,3,False,True,True,True,False
20,refund,agent_mistake,10,refund,unsatisfied,4,"The customer initiated the conversation with a refund request due to being charged twice. The agent attempted to follow procedure, asking for the order number and other details to process the refund. However, the customer became increasingly agitated and hostile, demanding immediate action and threatening the agent. The agent maintained a professional tone but was unable to resolve the issue due to the customer's behavior and the need to follow procedure.",False,0,False,False,False,False,False
21,payment_troubles,successful,13,payment_troubles,satisfied,5,"The customer initially reported a declined payment, and the agent promptly requested necessary information to investigate. The agent then performed a diagnostic check, explained the process, and eventually resolved the issue by retrying the transaction. Throughout the conversation, the agent provided clear explanations and updates, demonstrating a thorough and patient approach.",False,0,False,False,False,False,False
22,technical_errors,problematic,9,technical_errors,neutral,4,"The customer reported an issue with the app crashing on startup. The agent responded by asking for device information, then proceeded with basic troubleshooting steps. The customer had already tried some of these steps, but the agent continued to troubleshoot before escalating the issue to the technical team.",True,1,True,False,False,False,False
23,account_access,conflict,10,account_access,unsatisfied,4,"The customer initially reported trouble accessing their account. The agent apologized and requested account details to assist. The customer provided their surname and email address but expressed frustration with the delay. The agent continued to apologize and explained the need for security checks, eventually resetting the customer's password after verifying details.",False,0,False,False,False,False,False
24,tariff_questions,agent_mistake,14,tariff_questions,unsatisfied,2,"The customer initiated the conversation to inquire about upgrading their tariff plan, specifically seeking information about higher data limits. The agent provided some details but demonstrated inconsistencies and a lack of clarity, particularly regarding the 'Unlimited' plan's data cap and pricing. The customer had to repeatedly ask for clarification and confirmation of prices and promotional offers, indicating a lack of trust in the information provided. The agent's tone became increasingly rude and dismissive as the conversation progressed.",True,3,False,True,True,True,False
25,refund,successful,8,refund,satisfied,5,"The customer initiated the conversation with a clear request for a refund due to non-receipt of an item. The agent responded promptly, asking for the order number to investigate the issue. The customer provided the order number, and the agent located the order, confirming the refund request. The agent then proceeded to process the refund, requesting the customer's email address for confirmation. Despite the customer's uncertainty about the email address used for the order, the agent handled the situation professionally, choosing to send the refund confirmation to the provided email address. The customer expressed gratitude for the agent's assistance, and the conversation concluded with the agent offering a positive closing remark.",False,0,False,False,False,False,False
26,payment_troubles,problematic,8,payment_troubles,satisfied,5,"The customer initiated the conversation with a payment issue, expressing frustration. The agent apologized and requested more details to investigate. The customer provided the necessary information, and the agent identified the issue as a temporary glitch, retrying the transaction successfully. The agent maintained a polite tone throughout, addressing the customer's frustration and impatience.",False,0,False,False,False,False,False
27,technical_errors,conflict,10,account_access,unsatisfied,2,"The customer is experiencing login issues due to an incorrect password and has already attempted to reset it. The agent follows standard troubleshooting procedures, which the customer finds frustrating and unhelpful. The agent offers escalation to advanced support and eventually to a supervisor, but the customer remains unsatisfied.",True,1,True,False,False,False,False
28,account_access,agent_mistake,10,account_access,unsatisfied,3,"The customer's initial request was about trouble logging into their account after a password reset. The agent handled it by asking for the username and error message, then proceeded to check on a few things, and finally decided to escalate the issue to a specialized team. The agent's approach seemed to follow protocols but may have been perceived as prolonging the process. The customer's frustration grew as the issue was not resolved promptly and was instead escalated.",True,1,False,False,False,True,False
29,tariff_questions,successful,8,payment_troubles,neutral,4,"The customer initiated the conversation with a complaint about being overcharged for their internet plan. The agent responded apologetically and offered to help. The customer provided their account information, and the agent investigated the issue, finding an additional feature that was not previously discussed. The agent removed the feature and applied a credit to the customer's account. The customer was somewhat placated but still expressed frustration that the issue occurred in the first place.",False,0,False,False,False,False,False
30,refund,problematic,11,refund,unsatisfied,4,"The customer initiated the conversation with a refund request. The agent apologized and asked for the order number to proceed. The customer provided the order number and requested a refund, but the agent required additional information. The agent then processed the refund request, explained the processing time, and offered an alternative. The customer declined the alternative and the agent finalized the refund request.",False,0,False,False,False,False,False
31,payment_troubles,conflict,10,payment_troubles,satisfied,5,"The customer initiated the conversation due to a declined payment. The agent apologized and requested necessary information to investigate. The agent identified a potential cause for the declined payment, a temporary hold on the account, and took steps to resolve the issue by clearing the hold and reprocessing the payment. The customer's concerns were addressed, and the payment was successfully completed.",False,0,False,False,False,False,False
32,technical_errors,agent_mistake,10,technical_errors,unsatisfied,1,"The customer reported an issue with their app crashing when loading their profile. The agent requested an error code and app version, which the customer provided. However, instead of attempting to troubleshoot further or offer a solution, the agent deflected responsibility and suggested checking the FAQ section, despite the customer already having tried the recommended steps. The agent was unwilling to escalate the issue promptly and seemed uncooperative, leading to the customer requesting to speak with a supervisor.",True,4,True,False,True,True,True
33,account_access,successful,8,account_access,satisfied,5,"The customer reported being locked out of their account. The agent responded by asking for the customer's account email or username to assist further. The agent then located the customer's account and asked for more information about the login issue. After the customer reported the 'forgot password' link wasn't working, the agent offered a solution by sending a manual password reset link via email. The customer acknowledged receiving the link, and the agent offered further assistance if needed.",False,0,False,False,False,False,False
34,tariff_questions,problematic,8,tariff_questions,unsatisfied,4,"The customer initially requested information about their tariff plan and monthly payment. The agent apologized for any inconvenience and offered to review the customer's account information. However, the customer grew frustrated with the delay and demanded a straight answer. The agent eventually provided the customer with the requested information, including the monthly payment and the fact that the tariff plan was changing with a slight increase. The customer became dissatisfied and asked for the information to be sent via email.",True,1,False,False,False,True,False
35,refund,conflict,8,refund,unsatisfied,4,"The customer initiated the conversation with a complaint about a delayed refund, expressing frustration and anger. The agent responded apologetically and professionally, explaining the need for the order number to proceed with the refund. Despite the customer's continued aggression, the agent remained calm and helpful, eventually resolving the issue by escalating the case for immediate processing. The customer's satisfaction was not fully achieved due to their high expectations and the agent's inability to guarantee the refund would be processed within the desired timeframe.",False,0,False,False,False,False,False
36,payment_troubles,agent_mistake,10,payment_troubles,neutral,4,"The customer initiated the conversation with a clear description of their issue - a declined payment despite having sufficient funds. The agent responded apologetically and requested necessary information to investigate. After checking, the agent identified a potential issue with the payment gateway and decided to escalate the matter to a specialized team. The customer expressed concern over the escalation, seeking a quicker resolution and questioning the necessity of transferring the call. The agent reassured the customer that the payment team was better equipped to handle the issue and would likely request similar information.",False,0,False,False,False,False,False
37,technical_errors,successful,10,technical_errors,satisfied,5,"The customer reported an issue with the app crashing when loading their account. The agent apologized, asked for device and operating system information, and suggested reinstalling the app. After the customer reported that didn't work, the agent researched and found a potential conflict with a third-party library and iOS 15, created a ticket for the development team, and offered a temporary workaround. When that didn't work, the agent escalated the issue to the senior technical team and offered a complimentary premium support subscription as an apology.",False,0,False,False,False,False,False
38,account_access,problematic,12,account_access,satisfied,5,"The customer initially reported trouble accessing their account due to an incorrect username and password. The agent apologized and asked for the customer's username and operating system to assist in resolving the issue. The agent then checked the account, found an issue with the password, reset it, and asked the customer to verify their identity. After the password reset, the customer was still unable to log in, so the agent provided a detailed, step-by-step guide. The customer was eventually able to understand the process, and the agent added a note to the account to prevent future password resets.",False,0,False,False,False,False,False
39,tariff_questions,conflict,10,tariff_questions,neutral,2,"The customer initiated the conversation to understand the new tariff structure. The agent's response was vague and unhelpful, directing the customer to the website instead of providing a clear explanation. The customer persisted, seeking a simpler explanation, but the agent's tone became slightly rude and dismissive. The agent eventually checked for potential discounts but still failed to provide a clear explanation, leaving the customer somewhat satisfied but not fully informed.",True,3,False,True,True,True,False
40,refund,agent_mistake,9,refund,unsatisfied,3,"The customer initially requests a refund for a broken laptop, expressing frustration with the company's lack of help. The agent apologizes and offers to assist with the refund, requesting the order number. After locating the order, the agent informs the customer of a 30-day waiting period for refunds, which the customer disputes. The agent clarifies the warranty policy, escalates the issue, and offers a 10% discount on the next purchase. The customer remains unsatisfied, demanding only a refund.",True,2,False,True,False,True,False
41,payment_troubles,successful,10,payment_troubles,satisfied,4,"The customer initially reported trouble with their payment, stating their card was invalid. The agent responded by asking the customer to try again and then requested the order number to investigate further. The agent identified a potential issue with the customer's card and provided a solution by sending a link to update the payment method. Despite the customer's frustration and reluctance, the agent persisted in a professional manner, offering a guide and expressing understanding for the customer's frustration. Eventually, the customer's issue was resolved.",False,0,False,False,False,False,False
42,technical_errors,problematic,12,technical_errors,unsatisfied,2,"The customer initially reports a technical error with their app, receiving an error code 500 upon login. The agent requests additional information to troubleshoot the issue but fails to acknowledge the customer's frustration and provide a clear explanation for the error code. The agent follows protocol but lacks empathy, leading to customer dissatisfaction. The issue is eventually escalated, but the customer feels unheard.",True,3,False,True,True,True,False
43,account_access,conflict,11,account_access,satisfied,5,"The customer initially reported trouble accessing their account despite attempting a password reset. The agent apologized and requested the customer's account email or username to assist further. The customer provided the necessary information and inquired about the account lockout. The agent explained the reason for the lockout, verified the customer's identity, and offered a solution to unlock the account. The customer sought additional information on preventing future issues and the password reset process. The agent provided recommendations on enabling two-factor authentication and clarified the login process with this security measure in place.",False,0,False,False,False,False,False
44,tariff_questions,agent_mistake,8,tariff_questions,satisfied,5,"The customer reported being overcharged on their current tariff plan. The agent requested and received the customer's account details, identified the issue as an error on their part, and offered solutions. The customer chose to have the extra charge removed, which the agent processed. The agent confirmed the resolution and ensured the customer had no further issues.",False,0,False,False,False,False,False
45,refund,successful,8,refund,unsatisfied,5,"The customer initiated the conversation with a demand for a refund due to a defective purchase, expressing frustration and dissatisfaction. The agent responded apologetically and helpfully, requesting the order number to process the refund. Despite the customer's continued impatience and anger, the agent remained polite and professional, explaining the refund policy and the expected timeframe for the refund to be processed. The agent also assured the customer that the refund would be expedited and that an email notification would be sent once the refund was processed.",False,0,False,False,False,False,False
46,payment_troubles,problematic,13,payment_troubles,neutral,4,"The customer initially reported a payment issue, and the agent promptly asked for necessary information to investigate. The agent identified a potential system issue and attempted to manually process the payment. However, the verification process required the customer to download an app, which led to further complications. The agent tried to assist with the app download and password reset but ultimately had to escalate the issue to a specialized team.",False,0,False,False,False,False,False
47,technical_errors,conflict,10,technical_errors,unsatisfied,1,"The customer initially reports an issue with the app not loading, despite trying basic troubleshooting steps. The agent suggests further troubleshooting, but the customer is frustrated and requests a technical explanation. The agent becomes defensive and dismissive, leading to the customer requesting to speak to a supervisor.",True,4,True,True,True,True,False
48,account_access,agent_mistake,10,account_access,unsatisfied,2,"The customer initially reported trouble accessing their account despite trying to reset their password. The agent asked for the customer's email address and then suggested clearing the browser cache. After the customer mentioned they had already tried this and were still having issues, the agent offered to escalate the issue to the technical team. However, the customer expressed frustration and confusion about the process and the agent's inability to provide a clear explanation or solution. The agent eventually transferred the customer to the technical support team without fully addressing the customer's concerns or providing a clear explanation of what the technical team would do differently.",True,3,True,False,True,True,False
49,tariff_questions,successful,14,tariff_questions,satisfied,5,"The client initiated the conversation by inquiring about residential tariffs. The agent responded by providing a general overview and then specified the exact rates for each plan when asked. The client sought clarification on additional fees and extra charges for exceeding data limits, which the agent addressed. The client also inquired about promotions, and the agent informed them about a 10% discount for new customers. The client decided to proceed with the Premium plan and was guided through the sign-up process. Throughout the conversation, the agent provided relevant information and assisted the client in making an informed decision.",False,0,False,False,False,False,False
50,refund,problematic,9,refund,unsatisfied,3,"The customer initiated the conversation with a strong request for a refund due to dissatisfaction with a course. The agent responded by asking for the order number to investigate further. The customer provided the order number and expressed frustration over the 3-week refund processing time. The agent apologized, confirmed the processing time, and offered a 10% discount on the next purchase, which the customer found unacceptable. The agent then escalated the issue and provided contact information for follow-up. Throughout the conversation, the agent maintained a polite tone but was unable to resolve the customer's issue immediately.",True,1,False,True,False,False,False
51,payment_troubles,conflict,10,payment_troubles,neutral,3,"The customer initially reports a payment issue, which the agent attempts to troubleshoot by asking about card details. After the customer confirms their details are correct, the agent investigates further and suggests a bank issue. However, the customer remains unsatisfied due to the persistence of the problem across multiple cards, leading to a request for escalation. The agent, though somewhat reluctantly, escalates the issue.",True,2,False,True,True,False,False
52,technical_errors,agent_mistake,10,technical_errors,satisfied,4,"The customer initially reports their computer is freezing and needs help. The agent apologizes, asks for more details, and starts troubleshooting by suggesting a software update. The customer is unsure about updates and their impact on speed, which the agent clarifies. When the customer expresses concern about document safety, the agent provides reassurance but initially fails to directly address the concern, leading to the customer seeking further clarification. The agent then apologizes for the confusion and directly addresses the document safety issue.",True,1,True,False,False,False,False
53,account_access,successful,8,account_access,satisfied,5,"The customer reported being locked out of their account and the agent apologized and asked for account details to investigate. The agent identified a potential email address discrepancy, confirmed the email address with the customer, and manually verified the account to resolve the issue.",False,0,False,False,False,False,False
54,tariff_questions,problematic,11,tariff_questions,neutral,3,"The customer initiated the conversation with a concern about being charged too much for their current plan. The agent responded by asking for the customer's current plan and then offered a basic plan as an alternative. However, the customer expressed the need for features from the premium plan, and the agent struggled to provide detailed information about the premium plan's features. The agent eventually offered a 'pro' plan as a mid-tier option, which the customer accepted. The agent's handling of the situation was somewhat helpful but lacked detailed knowledge of the plans and their features.",True,2,False,True,True,False,False
55,refund,conflict,12,refund,satisfied,4,"The customer initially reported trouble with their refund, citing an order that never arrived but was being told to wait 30 days for the refund. The agent apologized, requested the order number, and upon locating the order, explained the refund policy. The agent then checked on the status, found a delay, and offered to expedite the refund while ensuring the customer's address was correct. However, the agent initially incorrectly suggested the customer return the item, which was not received. After correcting this mistake, the agent proceeded to process the refund within 3-5 business days.",True,1,False,True,False,False,False
56,payment_troubles,agent_mistake,12,payment_troubles,unsatisfied,2,"The customer initially reported a payment issue, and the first agent attempted to assist but ultimately escalated the issue to the finance team. The customer was transferred and spoke with a second agent who claimed the issue was resolved but failed to provide confirmation or directly address the customer's concerns.",True,2,True,False,False,True,False
57,technical_errors,successful,11,technical_errors,satisfied,5,"The customer reported an app crash issue. The agent asked for device and app version information, then suggested basic troubleshooting steps. After the customer confirmed these steps were already taken, the agent moved to advanced troubleshooting and eventually escalated the issue to the technical team.",False,0,False,False,False,False,False
58,account_access,problematic,9,account_access,unsatisfied,2,"The customer is having trouble accessing their account due to a password issue. The agent attempts to troubleshoot by suggesting a password reset, which the customer has already tried. The agent then offers to escalate the issue and provides a manual reset link. However, the agent's tone becomes somewhat dismissive towards the end of the conversation.",True,1,False,False,True,False,False
59,tariff_questions,conflict,10,tariff_questions,neutral,3,"The customer initiates the conversation seeking clarification on their current tariff plan. The agent requests the customer's account information to better assist them. After locating the account, the agent provides the customer with details about their 'Value' tariff plan. However, the customer expresses confusion about the plan's specifics, such as what the '1000 minutes of calls per month' entails and how it applies to calls to mobiles. The agent attempts to clarify but refers the customer to their tariff information document or the website for further details. The customer, not being computer savvy, seems to give up on getting a clearer explanation and thanks the agent for trying to help.",True,1,False,True,False,False,False
60,refund,agent_mistake,10,refund,neutral,3,"The customer initiated the conversation with a clear request for a refund due to a missing item and inquired about a return shipping label. The agent processed the refund but failed to address the customer's questions about the return shipping label and what to do if the item arrives after the refund. The agent eventually apologized and provided a vague solution, telling the customer to contact them again if the item shows up.",True,2,True,True,False,False,False
61,payment_troubles,successful,13,payment_troubles,neutral,4,"The customer initially reported a payment issue. The agent responded by asking for order details, then provided a reason for the decline based on the system. The customer disputed this, claiming the issue was on the support side. The agent offered a troubleshooting guide, which the customer had already tried, leading to an escalation of the issue. The agent then offered to resend the payment link and considered the customer's request for a discount, though was unable to grant it due to policy.",False,0,False,False,False,False,False
62,technical_errors,problematic,10,technical_errors,unsatisfied,4,"The customer initially reports a technical issue with the website crashing, and the agent responds by asking for more information to troubleshoot. The customer is frustrated but the agent remains calm and professional, suggesting common troubleshooting steps. The issue is eventually resolved, but the customer remains dissatisfied with the service.",False,0,False,False,False,False,False
63,account_access,conflict,13,account_access,unsatisfied,3,"The customer's initial request was to resolve an account lock issue. The agent's response was to reset the password, which the customer had already tried. The agent then requested account details, which the customer was hesitant to provide. The agent eventually located the account, explained the issue, and manually unlocked it after verifying the customer's identity. However, the customer's satisfaction was not fully achieved due to the lengthy and frustrating process.",True,2,True,False,True,False,False
64,tariff_questions,agent_mistake,8,tariff_questions,unsatisfied,3,"The customer initiated the conversation by expressing dissatisfaction with their current plan and requesting a cheaper option. The agent responded by offering to help explore other options and inquired about the customer's usage. The customer provided more information and asked about the cheapest plan. The agent presented a basic plan but failed to fully address the customer's concerns about data overage charges, leading to confusion and frustration. Eventually, the agent apologized and provided more information about tracking data usage.",True,2,True,True,False,False,False
65,refund,successful,10,refund,satisfied,5,"The customer initiated the conversation with a clear request for a refund due to a product not fitting. The agent responded apologetically and helpfully, requesting the order number to proceed. The customer provided additional context about a discrepancy in the product description, which the agent acknowledged and apologized for. The agent then inquired about the product's quality and performance, to which the customer replied that there were no issues, just a fit problem. The agent explained the refund policy, including a restocking fee, and offered a detailed breakdown. The customer found this reasonable and asked about the refund process timeline and confirmation, which the agent clearly explained. Throughout the conversation, the agent maintained a polite and helpful tone, addressing all the customer's concerns.",False,0,False,False,False,False,False
66,payment_troubles,problematic,13,payment_troubles,unsatisfied,2,"The customer initially reports a payment issue, and the agent responds by asking for verification of card details and account restrictions. The customer confirms everything is in order, and the agent then checks on the issue, finding a potential problem with the payment gateway. However, the agent fails to provide detailed information or a specific solution, instead offering a generic troubleshooting guide and suggesting the use of a different card. The customer requests escalation, which the agent reluctantly accommodates by providing a case reference number.",True,3,False,True,True,True,False
67,technical_errors,conflict,12,technical_errors,satisfied,5,"The customer initially reports a problem with accessing a website due to a '404 error'. The agent apologizes and asks for more information, then explains the error and suggests troubleshooting steps, including restarting the browser and checking the internet connection. When these steps don't work, the agent offers alternative solutions, such as clearing the browser cache, and provides detailed instructions.",False,0,False,False,False,False,False
68,account_access,agent_mistake,10,account_access,unsatisfied,2,"The customer initially reported trouble accessing their account despite trying to reset their password. The agent identified the issue as a locked account due to multiple failed login attempts and offered to unlock it. However, the customer also sought explanations for the 'forgot password' link not working and the account lockout policy to prevent future occurrences. The agent failed to directly address these questions, instead focusing solely on unlocking the account and sending a password reset link.",True,2,True,True,False,False,False
69,tariff_questions,successful,8,tariff_questions,satisfied,5,"The customer initially inquired about tariffs on their business plan. The agent responded by asking for more information, but the customer requested a simple answer. The agent then provided the cheapest plan and assisted with the switching process. The customer's issue was resolved, and they received the necessary information.",False,0,False,False,False,False,False
70,refund,problematic,11,refund,unsatisfied,2,"The customer initiated the conversation with a refund request for a broken laptop, displaying frustration. The agent followed the company's procedures, requesting necessary information and attempting to troubleshoot the issue. However, the customer's frustration escalated due to the agent's adherence to the script, ultimately leading to a request to escalate the issue to a supervisor.",True,2,True,False,True,False,False
71,payment_troubles,conflict,10,payment_troubles,unsatisfied,4,"The customer's initial request was about a declined payment. The agent responded with basic troubleshooting, which the customer had already done. The agent then attempted to gather more information and eventually identified a potential issue with the bank's 3D Secure authentication. The customer grew frustrated, but the agent remained empathetic and followed protocol, ultimately escalating the issue to a specialized team.",False,0,False,False,False,False,False
72,technical_errors,agent_mistake,10,technical_errors,unsatisfied,1,"The customer initially reports an issue with their app crashing when loading their profile. The agent suggests restarting the app, which the customer has already tried. The agent then asks about the internet connection, which the customer confirms is not the issue. The agent becomes defensive and unhelpful, eventually escalating the issue to a supervisor after the customer requests it. The agent's tone and language are unprofessional and dismissive.",True,4,True,True,True,True,False
73,account_access,successful,10,account_access,satisfied,5,"The customer initially reported trouble accessing their account despite trying to reset their password. The agent responded by asking for the customer's account email or username to investigate further. The customer provided the necessary information and explained the steps they had already taken. The agent then sent a password reset email and suggested trying a different browser or device to isolate the issue. After the customer confirmed that trying a different browser worked, the agent concluded that the issue was browser-related and offered further assistance if needed.",False,0,False,False,False,False,False
74,tariff_questions,problematic,8,tariff_questions,satisfied,5,"The customer initiated the conversation with a complaint about paying too much for their plan, demanding a change. The agent apologized and offered to assist in exploring alternative options. The customer grew impatient, but the agent remained polite and professional, eventually recommending a new plan and processing the changes.",False,0,False,False,False,False,False
75,refund,conflict,10,refund,unsatisfied,2,"The customer requested a refund for order #1234 due to non-receipt. The agent asked for confirmation of the order date and reason, which the customer provided. However, the agent then stated that the customer must wait 3 more business days for the refund to be processed automatically, despite the customer's request for an immediate refund. The customer became frustrated and asked to speak to a supervisor, which the agent agreed to escalate.",True,1,False,False,False,True,False
81,payment_troubles,successful,8,payment_troubles,satisfied,4,"The customer initially reported a payment issue, and the agent responded by asking the customer to check their card details and balance. The customer confirmed they had done so, and the agent then investigated the issue, finding that the bank had flagged the transaction as suspicious. The agent provided a solution by sending a link to verify the card, which the customer was initially hesitant about but ultimately used to resolve the issue.",False,0,False,False,False,False,False
